address,seed_same_naive,seed_same,seed_suspicious,less_5_tx,less_10_tx,interacted_other_ctbt,count_interaction_with_pool,count_interaction_with_toxic,count_interaction_with_airdrop_m,is_airdrop_master,count_interaction_with_tornado,count_interaction_with_disperse,has_interaction_toxic,has_no_pool_interaction,has_interaction_airdrop_m,has_interaction_tornado,has_interaction_disperse,count_flags,suspicious_1,flagged
0x0b22538162418319dc7410a3016ac3e61a0b4ca0,True,True,False,False,False,True,0,0,0,False,0,0,False,True,False,False,False,2,False,False
0x0bb5e2eab6cb24c40392783847e23e760b8b986b,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x0bb602f88bf886282ff69d4cec937cc2a7d9e19a,True,True,False,False,False,False,15,5,0,False,0,0,True,False,False,False,False,1,False,True
0x0bcec33354865d9d192e9fc5a6648c65bae58242,False,False,False,False,False,True,0,0,6,False,0,0,False,True,True,False,False,3,True,True
0x0c85cccd044a6eb351993bb02161e99f418bb753,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x0cfbefe4ee25a2f2045c8707a1aaaa9ebd3c86ce,True,True,False,False,False,False,2,0,0,False,0,0,False,True,False,False,False,1,False,False
0x0d23bf506fd96ec985d1f269f92b80ddbd91be80,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x0d536a9f9a9c374c8ea6f9d5d9bd7dcb81563f6f,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
0x0d933f6ffa1dc3b37163bf23ede8c90845db83e1,True,True,False,False,False,False,0,0,0,False,0,0,False,True,False,False,False,1,False,False
0x0de4d1b2405af886921be91ec8232a906df753cc,False,False,False,False,False,False,44,0,59,False,0,0,False,False,True,False,False,1,False,True
0x0e502a9b046c917847da3bdd240c63246d9bff1c,True,True,False,True,True,False,0,0,0,False,0,0,False,True,False,False,False,3,True,True
